Key,Source,Context,English,German

h7sb_backpackRemove,main,remove,This item has been removed by the H7SB [e0c977]Backpacks[-] Mod. It is still there to avoid errors but has no effect!,Dieser Gegenstand wurde durch die H7SB [e0c977]Backpacks[-] Mod entfernt. Er ist noch vorhanden um Fehler zu vermeiden aber hat keinen Effekt mehr!
lblEyewear,UI,Tooltip,Accessoire,Accessoire
lblFace,UI,Tooltip,Back,Rücken

modClothingStoragePocket,itemMods,pocket,Small Pocket,Kleine Tasche
modClothingCargoStoragePocket,itemMods,pocket,Large Pocket,Große Tasche
modClothingCargo2StoragePocket,itemMods,b,Coat Pocket,Manteltasche
pocketDesc,itemMods,desc,A pocket that you can sew on your pants or jacket to carry more items.,Eine Tasche die du an deine Hose oder Jacke nähen kannst um mehr Gegenstände zu tragen.
pocket2Desc,itemMods,desc,A pocket that you can sew on your jacket to carry more items.,Eine Tasche die du an deine Jacke nähen kannst um mehr Gegenstände zu tragen.

h7sb_rucksack1,items,backpack,Shabby Backpack,Schäbiger Rucksack
h7sb_rucksack1Desc,items,description,"This shabby backpack doesn't look particularly good, but it does the job.","Dieser schäbige Rucksack macht nicht besonders viel her, aber erfüllt seinen Zweck."
h7sb_rucksackBlock1,blocks,backpack,Shabby Backpack,Schäbiger Rucksack

h7sb_rucksack2,items,backpack,Backpack (blue),Rucksack (blau)
h7sb_rucksack2Desc,items,backpack,"An ordinary backpack with a decent size - but worth gold in the apocalypse.","Ein gewöhnlicher Rucksack mit einer anständigen größe - aber in der Apokalypse Gold wert."
h7sb_rucksackBlock2,blocks,backpack,Backpack (blue),Rucksack (blau)

h7sb_rucksack3,items,backpack,Backpack (orange),Rucksack (orange)
h7sb_rucksackBlock3,blocks,backpack,Backpack (orange),Rucksack (orange)

h7sb_rucksack4,items,backpack,Military Backpack,Kampftasche
h7sb_rucksack4Desc,items,backpack,"The military backpack is the survivor's best friend and offers enough space for all your prey.","Die Kampftasche ist der beste Freund des Überlebenskünstlers und bietet ausreichend Platz für eure Beute."
h7sb_rucksackBlock4,blocks,backpack,Military Backpack,Kampftasche
