Key,Context,English,German
h7sb_boarCage,newItem,Boar Cage,Schweinekäfig
h7sb_boarCageDesc,newItemDesc,"Use this item (RMB) to capture a fully stunned wild boar.","Verwende diesen Gegenstand (RMB) um ein vollständig betäubtes wildes Schwein einzufangen."

h7sb_boarFeed,newItem,Boar Feed,Schweinefutter
h7sb_boarFeedFeedDesc,newItemDesc,"This item is required to feed domesticated boars.","Dieser Gegenstand wird benötigt um domestizierte Schweine zu füttern."

h7sb_domesticatedBoarDesc,newBlock,"Place (RMB) the enclosure and wait a short moment for the boar to appear. Then use the carrot and stick to care for the animal. \n\nIf the boar does not appear, it is not bad - but it can be fixed by picking up the block and place it again. Boars need at least 2 block free space above and flat surface in order to appear!","Platziere (RMB) das Gehege und warte einen kurzen Moment bis das Schwein erscheint. Verwende anschließend den Gegenstand Zuckerbrot und Peitsche, um das Tier zu versorgen. \n\nSollte das Schwein nicht erscheinen ist es nicht schlimm - kann aber behoben werden, indem man den Block aufhebt und erneut platziert. Schweine benötigen mindestens 2 freie Blöcke über sich und eine ebene Fläche um zu erscheinen!"

h7sb_boarPlace1,newBlock,Boar ([ffb3ba]skinny[-]),Wildschwein ([ffb3ba]mager[-])
h7sb_boarPlace2,newBlock,Boar ([ffdfba]fattened[-]),Wildschwein ([ffdfba]gemästet[-])
h7sb_boarPlace3,newBlock,Boar ([ffffba]thick[-]),Wildschwein ([ffffba]dick[-])
h7sb_boarPlace4,newBlock,Boar ([baffc9]fat[-]),Wildschwein ([baffc9]fett[-])
h7sb_boarPlace5,newBlock,Boar ([E7D27C]sprightly[-]),Wildschwein ([E7D27C]rüstig[-])
h7sb_pigletPlace1,newBlock,Boar ([E7D27C]pregnant[-]),Wildschwein ([E7D27C]schwanger[-])
h7sb_pigletPlace2,newBlock,Boar ([E7D27C]feeding[-]),Wildschwein ([E7D27C]stillend[-])
h7sb_pigletFledged,newBlock,Boar ([E7D27C]weaned[-]),Wildschwein ([E7D27C]entwöhnt[-])

h7sb_boarPoopLoot1,newBlock,Boar ([aa8f79]muck out[-]),Wildschwein ([aa8f79]ausmisten[-])
h7sb_boarPoopLoot2,newBlock,Boar ([aa8f79]muck out[-]),Wildschwein ([aa8f79]ausmisten[-])
h7sb_boarPoopLoot3,newBlock,Boar ([aa8f79]muck out[-]),Wildschwein ([aa8f79]ausmisten[-])
h7sb_boarPoopLoot4,newBlock,Boar ([aa8f79]muck out[-]),Wildschwein ([aa8f79]ausmisten[-])
h7sb_boarPoopLoot5,newBlock,Boar ([aa8f79]muck out[-]),Wildschwein ([aa8f79]ausmisten[-])
h7sb_pigletPoopLoot,newBlock,Boar ([aa8f79]muck out[-]),Wildschwein ([aa8f79]ausmisten[-])

foodRottingFlesh,rework,Organic Garbage,Organischer Müll
