Key,Source,Context,English,German
h7sb_woodenDoorHelper,blocks,Door,Secure Wood Doors,Gesicherte Holztüren
secureDoorWooden,blocks,Door,Wood Door (default),Holztür (standart)
h7sb_woodenDoorT1_desert,blocks,Door,Wood Door (desert),Holztür (desert)
h7sb_woodenDoorT1_sun,blocks,Door,Wood Door (sun),Holztür (sun)
h7sb_woodenDoorT1_orange,blocks,Door,Wood Door (orange),Holztür (orange)
h7sb_woodenDoorT1_blood,blocks,Door,Wood Door (blood),Holztür (blood)
h7sb_woodenDoorT1_pink,blocks,Door,Wood Door (pink),Holztür (pink)
h7sb_woodenDoorT1_purple,blocks,Door,Wood Door (purple),Holztür (purple)
h7sb_woodenDoorT1_ocean,blocks,Door,Wood Door (ocean),Holztür (ocean)
h7sb_woodenDoorT1_sky,blocks,Door,Wood Door (sky),Holztür (sky)
h7sb_woodenDoorT1_green,blocks,Door,Wood Door (green),Holztür (green)
h7sb_woodenDoorT1_forest,blocks,Door,Wood Door (forest),Holztür (forest)
h7sb_woodenDoorT1_burned,blocks,Door,Wood Door (burned),Holztür (burned)
h7sb_woodenDoorT1_night,blocks,Door,Wood Door (night),Holztür (night)

h7sb_woodenHatchHelper,blocks,Door,Secure Wood Hatches,Gesicherte Holzklappen
woodHatch1_v1,blocks,Door,Wood Hatch (default),Holzklappe (standart)
h7sb_woodenHatchT1_desert,blocks,Door,Wood Hatch (desert),Holzklappe (desert)
h7sb_woodenHatchT1_sun,blocks,Door,Wood Hatch (sun),Holzklappe (sun)
h7sb_woodenHatchT1_orange,blocks,Door,Wood Hatch (orange),Holzklappe (orange)
h7sb_woodenHatchT1_blood,blocks,Door,Wood Hatch (blood),Holzklappe (blood)
h7sb_woodenHatchT1_pink,blocks,Door,Wood Hatch (pink),Holzklappe (pink)
h7sb_woodenHatchT1_purple,blocks,Door,Wood Hatch (purple),Holzklappe (purple)
h7sb_woodenHatchT1_ocean,blocks,Door,Wood Hatch (ocean),Holzklappe (ocean)
h7sb_woodenHatchT1_sky,blocks,Door,Wood Hatch (sky),Holzklappe (sky)
h7sb_woodenHatchT1_green,blocks,Door,Wood Hatch (green),Holzklappe (green)
h7sb_woodenHatchT1_forest,blocks,Door,Wood Hatch (forest),Holzklappe (forest)
h7sb_woodenHatchT1_burned,blocks,Door,Wood Hatch (burned),Holzklappe (burned)
h7sb_woodenHatchT1_night,blocks,Door,Wood Hatch (night),Holzklappe (night)

h7sb_woodenHouseDoorHelper,blocks,Door,Secure House Doors,Gesicherte Haustüren
h7sb_woodenHouseDoorT1_default,blocks,Door,Wood House Door (default),Haustür (standart)
h7sb_woodenHouseDoorT1_default2,blocks,Door,Wood House Door (default),Haustür (standart)
h7sb_woodenHouseDoorT1_desert,blocks,Door,Wood Door (desert),Holztür (desert)
h7sb_woodenHouseDoorT1_sun,blocks,Door,Wood Door (sun),Holztür (sun)
h7sb_woodenHouseDoorT1_orange,blocks,Door,Wood Door (orange),Holztür (orange)
h7sb_woodenHouseDoorT1_blood,blocks,Door,Wood Door (blood),Holztür (blood)
h7sb_woodenHouseDoorT1_pink,blocks,Door,Wood Door (pink),Holztür (pink)
h7sb_woodenHouseDoorT1_purple,blocks,Door,Wood Door (purple),Holztür (purple)
h7sb_woodenHouseDoorT1_ocean,blocks,Door,Wood Door (ocean),Holztür (ocean)
h7sb_woodenHouseDoorT1_sky,blocks,Door,Wood Door (sky),Holztür (sky)
h7sb_woodenHouseDoorT1_green,blocks,Door,Wood Door (green),Holztür (green)
h7sb_woodenHouseDoorT1_forest,blocks,Door,Wood Door (forest),Holztür (forest)
h7sb_woodenHouseDoorT1_burned,blocks,Door,Wood Door (burned),Holztür (burned)
h7sb_woodenHouseDoorT1_night,blocks,Door,Wood Door (night),Holztür (night)

h7sb_ironDoorHelper,blocks,Door,Secure Iron Doors,Gesicherte Eisentüren
ironDoor1_v1,blocks,Door,Iron Door (default),Eisentür (standart)
h7sb_ironDoorT1_desert,blocks,Door,Iron Door (desert),Eisentür (desert)
h7sb_ironDoorT1_sun,blocks,Door,Iron Door (sun),Eisentür (sun)
h7sb_ironDoorT1_orange,blocks,Door,Iron Door (orange),Eisentür (orange)
h7sb_ironDoorT1_blood,blocks,Door,Iron Door (blood),Eisentür (blood)
h7sb_ironDoorT1_pink,blocks,Door,Iron Door (pink),Eisentür (pink)
h7sb_ironDoorT1_purple,blocks,Door,Iron Door (purple),Eisentür (purple)
h7sb_ironDoorT1_ocean,blocks,Door,Iron Door (ocean),Eisentür (ocean)
h7sb_ironDoorT1_sky,blocks,Door,Iron Door (sky),Eisentür (sky)
h7sb_ironDoorT1_green,blocks,Door,Iron Door (green),Eisentür (green)
h7sb_ironDoorT1_forest,blocks,Door,Iron Door (forest),Eisentür (forest)
h7sb_ironDoorT1_burned,blocks,Door,Iron Door (burned),Eisentür (burned)
h7sb_ironDoorT1_night,blocks,Door,Iron Door (night),Eisentür (night)

h7sb_ironDoubleDoorHelper,blocks,Door,Secure Iron Double Doors,Gesicherte Eisendoppeltüren
ironDoor1_v1,blocks,Door,Iron Double Door (default),Eisendoppeltür (standart)
h7sb_ironDoubleDoorT1_desert,blocks,Door,Iron Double Door (desert),Eisendoppeltür (desert)
h7sb_ironDoubleDoorT1_sun,blocks,Door,Iron Double Door (sun),Eisendoppeltür (sun)
h7sb_ironDoubleDoorT1_orange,blocks,Door,Iron Double Door (orange),Eisendoppeltür (orange)
h7sb_ironDoubleDoorT1_blood,blocks,Door,Iron Double Door (blood),Eisendoppeltür (blood)
