Key,Context,English,German,French

h7sb_switchHelper,blocks,Switch,Schalter,Interrupteur
h7sb_switch_desert,blocks,Switch (desert),Schalter (desert),Interrupteur (desert)
h7sb_switch_sun,blocks,Switch (sun),Schalter (sun),Interrupteur (sun)
h7sb_switch_orange,blocks,Switch (orange),Schalter (orange),Interrupteur (orange)
h7sb_switch_blood,blocks,Switch (blood),Schalter (blood),Interrupteur (blood)
h7sb_switch_pink,blocks,Switch (pink),Schalter (pink),Interrupteur (pink)
h7sb_switch_purple,blocks,Switch (purple),Schalter (purple),Interrupteur (purple)
h7sb_switch_ocean,blocks,Switch (ocean),Schalter (ocean),Interrupteur (ocean)
h7sb_switch_sky,blocks,Switch (sky),Schalter (sky),Interrupteur (sky)
h7sb_switch_green,blocks,Switch (green),Schalter (green),Interrupteur (green)
h7sb_switch_forest,blocks,Switch (forest),Schalter (forest),Interrupteur (forest)
h7sb_switch_burned,blocks,Switch (burned),Schalter (burned),Interrupteur (burned)
h7sb_switch_night,blocks,Switch (night),Schalter (night),Interrupteur (night)
h7sb_switch,blocks,Switch,Schalter,Interrupteur

h7sb_controlPanelSwitchHelper,blocks,Controll Panel (Switch),Schalttafel (Schalter),Panneau de controle (Interrupteur)
h7sb_controlPanelBase01,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelBase02,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelBase03,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelBase04,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelBase05,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelTop01,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelTop02,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelTop03,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelTop04,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelTop05,blocks,Controll Panel,Schalttafel,Panneau de controle
h7sb_controlPanelTop06,blocks,Controll Panel,Schalttafel,Panneau de controle

h7sb_controlPanelFillerHelper,blocks,Controll Panel (Filler),Schalttafel (Füller),Panneau de controle (remplisseuse)
h7sb_controlPanelBase06,blocks,Filler,Füller,remplisseuse
h7sb_controlPanelBase07,blocks,Filler,Füller,remplisseuse
h7sb_controlPanelBase08,blocks,Filler,Füller,remplisseuse
h7sb_controlPanelCorner,blocks,Filler,Füller,remplisseuse
h7sb_controlPanelTop07,blocks,Filler,Füller,remplisseuse

h7sb_switchDesc,desc,"Used to trigger electrical events when activated.","Wird verwendet um elektrische Ereignisse auszulösen, wenn aktiviert.","Utilisé pour changer l'état électrique, lorsqu'il est activé"
useSwitchLightOff,UI,{0} Switch off,{0} Ausschalten,{0} Interrupteur Eteint
useSwitchLightOn,UI,{0} Switch on,{0} Einschalten,{0} Interrupteur Allumé

h7sb_pressureplateHelper,blocks,Pressureplate 1x1,Druckplatte 1x1,Plaque de Pression 1x1
h7sb_pressureplate_desert,blocks,Pressureplate (desert),Druckplatte (desert),Plaque de Pression 1x1 (desert)
h7sb_pressureplate_sun,blocks,Pressureplate (sun),Druckplatte (sun),Plaque de Pression 1x1 (sun)
h7sb_pressureplate_orange,blocks,Pressureplate (orange),Druckplatte (orange),Plaque de Pression 1x1 (orange)
h7sb_pressureplate_blood,blocks,Pressureplate (blood),Druckplatte (blood),Plaque de Pression 1x1 (blood)
h7sb_pressureplate_pink,blocks,Pressureplate (pink),Druckplatte (pink),Plaque de Pression 1x1 (pink)
h7sb_pressureplate_purple,blocks,Pressureplate (purple),Druckplatte (purple),Plaque de Pression 1x1 (purple)
h7sb_pressureplate_ocean,blocks,Pressureplate (ocean),Druckplatte (ocean),Plaque de Pression 1x1 (ocean)
h7sb_pressureplate_sky,blocks,Pressureplate (sky),Druckplatte (sky),Plaque de Pression 1x1 (sky)
h7sb_pressureplate_green,blocks,Pressureplate (green),Druckplatte (green),Plaque de Pression 1x1 (green)
h7sb_pressureplate_forest,blocks,Pressureplate (forest),Druckplatte (forest),Plaque de Pression 1x1 (forest)
h7sb_pressureplate_burned,blocks,Pressureplate (burned),Druckplatte (burned),Plaque de Pression 1x1 (burned)
h7sb_pressureplate_night,blocks,Pressureplate (night),Druckplatte (night),Plaque de Pression 1x1 (night)

h7sb_pressureplateLongHelper,blocks,Pressureplate 1x5,Druckplatte 1x5,Plaque de Pression 1x5
h7sb_pressureplateLong_desert,blocks,Pressureplate (desert),Druckplatte (desert),Plaque de Pression 1x5 (desert)
h7sb_pressureplateLong_sun,blocks,Pressureplate (sun),Druckplatte (sun),Plaque de Pression 1x5 (sun)
h7sb_pressureplateLong_orange,blocks,Pressureplate (orange),Druckplatte (orange),Plaque de Pression 1x5 (orange)
h7sb_pressureplateLong_blood,blocks,Pressureplate (blood),Druckplatte (blood),Plaque de Pression 1x5 (blood)
h7sb_pressureplateLong_pink,blocks,Pressureplate (pink),Druckplatte (pink),Plaque de Pression 1x5 (pink)
h7sb_pressureplateLong_purple,blocks,Pressureplate (purple),Druckplatte (purple),Plaque de Pression 1x5 (purple)
h7sb_pressureplateLong_ocean,blocks,Pressureplate (ocean),Druckplatte (ocean),Plaque de Pression 1x5 (ocean)
h7sb_pressureplateLong_sky,blocks,Pressureplate (sky),Druckplatte (sky),Plaque de Pression 1x5 (sky)
h7sb_pressureplateLong_green,blocks,Pressureplate (green),Druckplatte (green),Plaque de Pression 1x5 (green)
h7sb_pressureplateLong_forest,blocks,Pressureplate (forest),Druckplatte (forest),Plaque de Pression 1x5 (forest)
h7sb_pressureplateLong_burned,blocks,Pressureplate (burned),Druckplatte (burned),Plaque de Pression 1x5 (burned)
h7sb_pressureplateLong_night,blocks,Pressureplate (night),Druckplatte (night),Plaque de Pression 1x5 (night)

h7sb_pressureplateDesc,desc,"Used to trigger electrical events when stepped on.","Wird verwendet um elektrische Ereignisse auszulösen.","Sert à déclencher des événements électriques si quelque chose marche dessus."

h7sb_relayHelper,blocks,Electric Wire Relay,Elektrokabelverschaltung,Relaie pour Cable Electrique
h7sb_relay_desert,blocks,Electric Wire Relay (desert),Elektrokabelverschaltung (desert),Relaie pour Cable Electrique (desert)
h7sb_relay_sun,blocks,Electric Wire Relay (sun),Elektrokabelverschaltung (sun),Relaie pour Cable Electrique (sun)
h7sb_relay_orange,blocks,Electric Wire Relay (orange),Elektrokabelverschaltung (orange),Relaie pour Cable Electrique (orange)
h7sb_relay_blood,blocks,Electric Wire Relay (blood),Elektrokabelverschaltung (blood),Relaie pour Cable Electrique (blood)
h7sb_relay_pink,blocks,Electric Wire Relay (pink),Elektrokabelverschaltung (pink),Relaie pour Cable Electrique (pink)
h7sb_relay_purple,blocks,Electric Wire Relay (purple),Elektrokabelverschaltung (purple),Relaie pour Cable Electrique (purple)
h7sb_relay_ocean,blocks,Electric Wire Relay (ocean),Elektrokabelverschaltung (ocean),Relaie pour Cable Electrique (ocean)
h7sb_relay_sky,blocks,Electric Wire Relay (sky),Elektrokabelverschaltung (sky),Relaie pour Cable Electrique (sky)
h7sb_relay_green,blocks,Electric Wire Relay (green),Elektrokabelverschaltung (green),Relaie pour Cable Electrique (green)
h7sb_relay_forest,blocks,Electric Wire Relay (forest),Elektrokabelverschaltung (forest),Relaie pour Cable Electrique (forest)
h7sb_relay_burned,blocks,Electric Wire Relay (burned),Elektrokabelverschaltung (burned),Relaie pour Cable Electrique (burned)
h7sb_relay_night,blocks,Electric Wire Relay (night),Elektrokabelverschaltung (night),Relaie pour Cable Electrique (night)

h7sb_relayDesc,desc,"Used to connect and extend wires between electrical components.","Wird verwendet um elektrische Komponenten mit Kabeln zu verbinden.","Utilisé pour connecter ou étendre les cables entre les appareils electriques"

h7sb_relayTimedHelper,blocks,Electric Timer Relay,Elektrozeitschalter-Relais,Relais horaire électrique
h7sb_relayTimed_desert,blocks,Electric Timer Relay (desert),Elektrozeitschalter-Relais (desert),Relais horaire électrique (desert)
h7sb_relayTimed_sun,blocks,Electric Timer Relay (sun),Elektrozeitschalter-Relais (sun),Relais horaire électrique (sun)
h7sb_relayTimed_orange,blocks,Electric Timer Relay (orange),Elektrozeitschalter-Relais (orange),Relais horaire électrique (orange)
h7sb_relayTimed_blood,blocks,Electric Timer Relay (blood),Elektrozeitschalter-Relais (blood),Relais horaire électrique (blood)
h7sb_relayTimed_pink,blocks,Electric Timer Relay (pink),Elektrozeitschalter-Relais (pink),Relais horaire électrique (pink)
h7sb_relayTimed_purple,blocks,Electric Timer Relay (purple),Elektrozeitschalter-Relais (purple),Relais horaire électrique (purple)
h7sb_relayTimed_ocean,blocks,Electric Timer Relay (ocean),Elektrozeitschalter-Relais (ocean),Relais horaire électrique (ocean)
h7sb_relayTimed_sky,blocks,Electric Timer Relay (sky),Elektrozeitschalter-Relais (sky),Relais horaire électrique (sky)
h7sb_relayTimed_green,blocks,Electric Timer Relay (green),Elektrozeitschalter-Relais (green),Relais horaire électrique (green)
h7sb_relayTimed_forest,blocks,Electric Timer Relay (forest),Elektrozeitschalter-Relais (forest),Relais horaire électrique (forest)
h7sb_relayTimed_burned,blocks,Electric Timer Relay (burned),Elektrozeitschalter-Relais (burned),Relais horaire électrique (burned)
h7sb_relayTimed_night,blocks,Electric Timer Relay (night),Elektrozeitschalter-Relais (night),Relais horaire électrique (night)

h7sb_relayTimedDesc,desc,"Wire up one of these to trigger events based on time of day.","Schließe einen davon an, um Ereignisse anhand der Tageszeit auszulösen.","Connectez-en un pour déclencher un évènement en fonction de l'heure de la journée"

h7sb_fuseBox,blocks,Fuse Box,Sicherungskasten,Boite à Fusible
h7sb_nearFieldGenerator,blocks,Near Field Generator,Nahfeldgenerator,Generateur de Champ Electrique Proche

h7sb_wptDesc,desc,"Used to connect and extend wires between electrical components. All outgoing connections are invisible.","Wird verwendet um elektrische Komponenten mit Kabeln zu verbinden. Alle abgehenden Anschlüsse sind unsichtbar.","Sert à connecter et étendre la connection entre les appareils électrique. Toutes les connections sortantes sont invisibles."

h7sb_batterybankHelper,blocks,Battery Bank,Batteriebank,Banc de Batteries
h7sb_batterybank_desert,blocks,Battery Bank (desert),Batteriebank (desert),Banc de Batteries (desert)
h7sb_batterybank_sun,blocks,Battery Bank (sun),Batteriebank (sun),Banc de Batteries (sun)
h7sb_batterybank_orange,blocks,Battery Bank (orange),Batteriebank (orange),Banc de Batteries (orange)
h7sb_batterybank_blood,blocks,Battery Bank (blood),Batteriebank (blood),Banc de Batteries (blood)
h7sb_batterybank_pink,blocks,Battery Bank (pink),Batteriebank (pink),Banc de Batteries (pink)
h7sb_batterybank_purple,blocks,Battery Bank (purple),Batteriebank (purple),Banc de Batteries (purple)
h7sb_batterybank_ocean,blocks,Battery Bank (ocean),Batteriebank (ocean),Banc de Batteries (ocean)
h7sb_batterybank_sky,blocks,Battery Bank (sky),Batteriebank (sky),Banc de Batteries (sky)
