Key,Source,Context,English,German

foodRawMeat,item,angeln,Raw Meat,Rohes Fleisch
foodCharredMeat,item,angeln,Charred Meat,Verkohltes Fleisch
perkMasterChefRank2LongDesc,item,desc,"Just like grandma used to make, tasty hearty meals that fill you up for days. Craft steak and potatoes, meat stew, vegetable stew, blueberry pie and several pumpkin dishes. Cook 20% faster.","Leckere, herzhafte Mahlzeiten, die dich tagelang satt machen. Wie bei Oma. Fertige Steak mit Kartoffeln, Bauerntopf, Gemüseeintopf, Blaubeerkuchen und ein paar Kürbisgerichte. Koche 20 % schneller."
buffFoodStaminaBonusDesc,item,desc,Eating cooked food increases your max stamina. Higher quality foods like meat stew add a greater bonus.\n\nYour max stamina is increased by {cvar($foodStaminaBonus:0)}\n\nThe timer will not count down while your food bar is full. Will only overwrite a higher value buff if it's duration is below half.,"Das Essen von gekochter Nahrung erhöht deine Ausdauer. Nahrung von höherer Qualität wie Bauerntopf bieten einen höheren Bonus.\n\nDeine max. Ausdauer wird um {cvar($foodStaminaBonus:0)} erhöht.\n\nDer Timer zählt nicht herunter, wenn deine Nahrungsleiste voll ist. Ein höherwertiger Effekt wird nur überschrieben, wenn seine Dauer unter der Hälfte liegt."
foodMeatStew,item,angeln,Meat Stew,Bauerntopf
foodMeatStewDesc,item,desc,A survivor isn't worth his salt if he can't make a meat stew.,"Jeder halbwegs vernünftige Überlebende muss wissen, wie man einen Bauerntopf macht."
foodMeatStewSchematic,item,angeln,Meat Stew Recipe,Rezept: Bauerntopf
foodFishTacos,item,angeln,Chili Tacos,Chili Tacos
foodFishTacosSchematic,item,angeln,Chili Tacos Recipe,Rezept: Chili Tacos
perkMasterChefRank3LongDesc,item,desc,"Learn how to make nutritious pot luck meals from canned goods. Craft Sham Chowder, Hobo Stew, Chili dogs and tacos. Wash them down with Yucca Juice Smoothies and Beer. Cook 30% faster.","Lerne, wie man aus Dosenfutter nahrhafte Gerichte zaubert. Fertige Sham-Suppe, Penner-Eintopf, Chili-Hotdogs und Tacos. Spüle deine Kreationen mit Yucca-Saft-Smoothies und Bier hinunter. Koche 30 % schneller."

h7sb_fishingRod,item,angeln,Fishing Pole,Angelrute
h7sb_fishingRodDesc,item,desc,"To use the fishing rod stand by the water or on a raft and use a bait. As soon as the bait buff appears you can cast the fishing rod (LMB). \n\nOnce a fish has bitten pay attention to it in which direction it swims (left or right). Pull the fishing rod in the opposite direction (LMB/RMB). Repeat the process until the fish is caught and you can use a fishing net. \n","Um die Angel zu benutzen stelle dich ans Wasser oder auf ein Floß und benutze einen Köder. Sobald der Köder Buff erscheint kannst du die Angel auswerfen (LMB). \n\nWenn ein Fisch angebissen hat achte darauf in welche Richtung er schwimmt (links o. rechts). Ziehe die Angel in die entgegengesetzte Richtung (LMB/RMB). Wiederhole den Vorgang bis der Fisch gefangen ist und du ein Fischernetz verwenden kannst. \n"

h7sb_maggot,item,angeln,Maggot,Made
h7sb_maggotDesc,item,desc,"Maggots can be found in carcasses and used as fishing bait. \n\nIn an emergency, you can eat them directly. ~eeeh","Maden können in Kadavern gefunden und als Angelköder verwendet werden. \n\nIm Notfall kann man sie auch direkt essen. ~iieh"

h7sb_bait,item,angeln,Fishing Bait,Fischköder
h7sb_baitDesc,item,angeln,"Fishing baits can be used (RMB) to catch fish. \n\nAfter the buff appears, quickly use a fishing rod before time runs out (60 seconds) and the bait stops squirming.","Fischköder können dazu verwendet (RMB) werden um Fische zu fangen. \n\nNachdem der Buff erscheint verwendet schnell eine Angelrute bevor die Zeit (60 Sekunden) abläuft und der Köder aufhört zu zappeln."

bait,buff,angeln,Fishing Bait,Fischköder
baitDesc,buff,desc,"As long as the fishing bait squirming, you can cast a line to catch a fish.","Solange der Fischköder zappelt kann man eine Angel auswerfen, um eventuell einen Fisch zu fangen."

h7sb_fishingNet,item,angeln,Fishing Net,Fischernetz
h7sb_fishingNetDesc,item,desc,"The fishing net can be used (LMB/RMB) to catch caught fish. \n\nUse LMB for small fish. \nUse RMB for big fish.","Das Fischernetz kann verwendet werden (LMB/RMB) um geangelte Fische einzufangen. \n\nVerwende LMB für kleine Fische. \nVerwende RMB für große Fische."

h7sb_fishDeco,block,angeln,Fish (Deco),Fisch (Deko)
h7sb_fishDecoDesc,block,angeln,"A decorative fish of no further use that you learn how to make after you have caught your first fish. \n\nWarning! This block has no hitbox, ie you must destroy the block below it (and maybe surrounding blocks) in order to remove the fish. The item will be lost.","Ein dekorativer Fisch ohne weiteren Nutzen, dessen Herstellung man lernt nachdem man seinen ersten Fisch geangeln hat. \n\nAchtung! Dieser Block hat keine Hitbox, dh. man muss den Block darunter (und evtl. umliegende Blöcke) zerstören um den Fisch zu entfernen. Der Gegenstand geht dabei verloren."
