Key,Context,English,German

h7sb_scrapCarPlaceable,items,Scrap Car,Schrottwagen
h7sb_scrapCar,entity,Scrap Car,Schrottwagen
scrapCarDesc,items,"Place (RMB) the vehicle to use it (E). A long press of the E key opens a radial menu with additional functions and the option to return it to inventory. \n\nThis vehicle has 2 seats and a moderately large inventory.","Platziere (RMB) das Fahrzeug um es zu benutzen (E). Durch langes drücken der E-Taste öffnet sich ein Radialmenü mit weiteren Funktionen und der Option es wieder ins Inventar zu räumen. \n\nDieses Fahrzeug verfügt über 2 Sitzplätze und ein moderat großes Inventar."

h7sb_battleCarPlaceable,items,Battle Car,Kübelwagen
h7sb_battleCar,entity,Battle Car,Kübelwagen
battleCarDesc,items,"Place (RMB) the vehicle to use it (E). A long press of the E button opens a radial menu with additional functions and the option to return it to inventory. \n\nThis vehicle has 2 seats and 1 standing space, plus a very small inventory. You can shoot from the rear position and get a bonus to reload speed when you're near it.","Platziere (RMB) das Fahrzeug um es zu benutzen (E). Durch langes drücken der E-Taste öffnet sich ein Radialmenü mit weiteren Funktionen und der Option es wieder ins Inventar zu räumen. \n\nDieses Fahrzeug verfügt über 2 Sitz- und 1 Stehplatz, sowie einem sehr kleinen Inventar. Man kann von der hinteren Position aus schießen und erhält in seiner Nähe einen Bonus auf das Nachladetempo."
buffbattleCar,buff,Prepared,Vorbereitet
buffbattleCarDesc,buff,"Increased reload speed (10%).","Erhöhte Nachladegeschwindigkeit (10%)."

h7sb_muscleCarPlaceable,items,Muscle Car,Muscle Car
h7sb_muscleCar,entity,Muscle Car,Muscle Car
muscleCarDesc,items,"Place (RMB) the vehicle to use it (E). A long press of the E key opens a radial menu with additional functions and the option to return it to inventory. \n\nThis vehicle has 4 seats and a small inventory. It's extra fast.","Platziere (RMB) das Fahrzeug um es zu benutzen (E). Durch langes drücken der E-Taste öffnet sich ein Radialmenü mit weiteren Funktionen und der Option es wieder ins Inventar zu räumen. \n\nDieses Fahrzeug verfügt über 4 Sitzplätze und ein kleines Inventar. Es ist besonders schnell."

h7sb_monsterTruckPlaceable,items,Monstertruck,Monstertruck
