Key,Source,English,German

H7SB_Workbench_Helper,Workstation,Workbenches,Werkbänke
H7SB_Workbench_Desert,Workstation,Workbench (desert),Werkbank (desert)
H7SB_Workbench_Sun,Workstation,Workbench (sun),Werkbank (sun)
H7SB_Workbench_Orange,Workstation,Workbench (orange),Werkbank (orange)
H7SB_Workbench_Blood,Workstation,Workbench (blood),Werkbank (blood)
H7SB_Workbench_Pink,Workstation,Workbench (pink),Werkbank (pink)
H7SB_Workbench_Purple,Workstation,Workbench (purple),Werkbank (purple)
H7SB_Workbench_Ocean,Workstation,Workbench (ocean),Werkbank (ocean)
H7SB_Workbench_Sky,Workstation,Workbench (sky),Werkbank (sky)
H7SB_Workbench_Green,Workstation,Workbench (green),Werkbank (green)
H7SB_Workbench_Forest,Workstation,Workbench (forest),Werkbank (forest)
H7SB_Workbench_Burned,Workstation,Workbench (burned),Werkbank (burned)
H7SB_Workbench_Night,Workstation,Workbench (night),Werkbank (night)

H7SB_Forge_Helper,Workstation,Forges,Schmieden
H7SB_Forge_Desert,Workstation,Forge (desert),Schmiede (desert)
H7SB_Forge_Sun,Workstation,Forge (sun),Schmiede (sun)
H7SB_Forge_Orange,Workstation,Forge (orange),Schmiede (orange)
H7SB_Forge_Blood,Workstation,Forge (blood),Schmiede (blood)
H7SB_Forge_Pink,Workstation,Forge (pink),Schmiede (pink)
H7SB_Forge_Purple,Workstation,Forge (purple),Schmiede (purple)
H7SB_Forge_Ocean,Workstation,Forge (ocean),Schmiede (ocean)
H7SB_Forge_Sky,Workstation,Forge (sky),Schmiede (sky)
H7SB_Forge_Green,Workstation,Forge (green),Schmiede (green)
H7SB_Forge_Forest,Workstation,Forge (forest),Schmiede (forest)
H7SB_Forge_Burned,Workstation,Forge (burned),Schmiede (burned)
H7SB_Forge_Night,Workstation,Forge (night),Schmiede (night)

H7SB_WoodBurningStove_Helper,Workstation,Iron Ovens,Eisenöfen
H7SB_WoodBurningStove_Default,Workstation,Iron Oven,Eisenofen
H7SB_WoodBurningStove_Desert,Workstation,Iron Oven (desert),Eisenofen (desert)
H7SB_WoodBurningStove_Sun,Workstation,Iron Oven (sun),Eisenofen (sun)
H7SB_WoodBurningStove_Orange,Workstation,Iron Oven (orange),Eisenofen (orange)
H7SB_WoodBurningStove_Blood,Workstation,Iron Oven (blood),Eisenofen (blood)
H7SB_WoodBurningStove_Pink,Workstation,Iron Oven (pink),Eisenofen (pink)
H7SB_WoodBurningStove_Purple,Workstation,Iron Oven (purple),Eisenofen (purple)
H7SB_WoodBurningStove_Ocean,Workstation,Iron Oven (ocean),Eisenofen (ocean)
H7SB_WoodBurningStove_Sky,Workstation,Iron Oven (sky),Eisenofen (sky)
H7SB_WoodBurningStove_Green,Workstation,Iron Oven (green),Eisenofen (green)
H7SB_WoodBurningStove_Forest,Workstation,Iron Oven (forest),Eisenofen (forest)
H7SB_WoodBurningStove_Burned,Workstation,Iron Oven (burned),Eisenofen (burned)
H7SB_WoodBurningStove_Night,Workstation,Iron Oven (night),Eisenofen (night)

H7SB_ChemistryStation_Helper,Workstation,Chemistry Stations,Chemietische
H7SB_ChemistryStation_Desert,Workstation,Chemistry Station (desert),Chemietisch (desert)
H7SB_ChemistryStation_Sun,Workstation,Chemistry Station (sun),Chemietisch (sun)
H7SB_ChemistryStation_Orange,Workstation,Chemistry Station (orange),Chemietisch (orange)
H7SB_ChemistryStation_Blood,Workstation,Chemistry Station (blood),Chemietisch (blood)
H7SB_ChemistryStation_Pink,Workstation,Chemistry Station (pink),Chemietisch (pink)
H7SB_ChemistryStation_Purple,Workstation,Chemistry Station (purple),Chemietisch (purple)
H7SB_ChemistryStation_Ocean,Workstation,Chemistry Station (ocean),Chemietisch (ocean)
H7SB_ChemistryStation_Sky,Workstation,Chemistry Station (sky),Chemietisch (sky)
H7SB_ChemistryStation_Green,Workstation,Chemistry Station (green),Chemietisch (green)
H7SB_ChemistryStation_Forest,Workstation,Chemistry Station (forest),Chemietisch (forest)
H7SB_ChemistryStation_Burned,Workstation,Chemistry Station (burned),Chemietisch (burned)
H7SB_ChemistryStation_Night,Workstation,Chemistry Station (night),Chemietisch (night)
H7SB_ChemistryStation_small,Workstation,Chemistry Station,Chemietisch
H7SB_ChemistryStation_medium,Workstation,Chemistry Station,Chemietisch
H7SB_ChemistryStation_large,Workstation,Chemistry Station,Chemietisch

H7SB_CementMixer_Helper,Workstation,Cement Mixers,Zementmischer
H7SB_CementMixer_Desert,Workstation,Cement Mixer (desert),Zementmischer (desert)
H7SB_CementMixer_Sun,Workstation,Cement Mixer (sun),Zementmischer (sun)
H7SB_CementMixer_Orange,Workstation,Cement Mixer (orange),Zementmischer (orange)
H7SB_CementMixer_Blood,Workstation,Cement Mixer (blood),Zementmischer (blood)
H7SB_CementMixer_Pink,Workstation,Cement Mixer (pink),Zementmischer (pink)
H7SB_CementMixer_Purple,Workstation,Cement Mixer (purple),Zementmischer (purple)
H7SB_CementMixer_Ocean,Workstation,Cement Mixer (ocean),Zementmischer (ocean)
H7SB_CementMixer_Sky,Workstation,Cement Mixer (sky),Zementmischer (sky)
H7SB_CementMixer_Green,Workstation,Cement Mixer (green),Zementmischer (green)
H7SB_CementMixer_Forest,Workstation,Cement Mixer (forest),Zementmischer (forest)
H7SB_CementMixer_Burned,Workstation,Cement Mixer (burned),Zementmischer (burned)
H7SB_CementMixer_Night,Workstation,Cement Mixer (night),Zementmischer (night)

H7SB_Kitchen_Helper,Workstation,Kitchen Equipment,Küchenausstattung
H7SB_Stove1,Workstation,Stove,Herd
H7SB_Stove2,Workstation,Stove,Herd
H7SB_Microwave1,Workstation,Microwave,Mikrowelle
H7SB_Microwave2,Workstation,Microwave,Mikrowelle
H7SB_Grill,Workstation,Grill,Grill
H7SB_CoffeeMaker1,Workstation,Coffee Maker,Kaffeemaschine
H7SB_CoffeeMaker2,Workstation,Coffee Maker,Kaffeemaschine
H7SB_Toaster,Workstation,Toaster,Toaster
H7SB_IceMachine,Workstation,Ice Machine,Kühltruhe
IceMachine,Workstation,Ice Machine,Kühltruhe
H7SB_Smoker,Workstation,Smoker,Räucherofen
smoker,Workstation,Smoker,Räucherofen

h7sb_foodCornBreadToasted,food,Toasted Corn Bread,Getoastetes Maisbrot
h7sb_foodShamSandwichToasted,food,Toasted Sandwich,Getoastetes Sandwich
h7sb_foodTunaFishGravyToastToasted,food,Toasted Tuna Toast,Getoasteter Thunfischtoast
h7sb_toastedDesc,food,This item has been toasted.,Dieser Gegenstand wurde getoastet.

h7sb_foodSmokedMeat,food,Smoked Meat,Geräuchertes Fleisch
h7sb_smokedDesc,food,This item has been smoked.,Dieser Gegenstand wurde geräuchert.
