Key,Source,Context,English
perkASMiningToolsDesc,progression,Perk,"+1% Block Damage and Resource Gain\n+0.3% Stamina Reduction\nper level"
perkASConstructionToolsDesc,progression,Perk,"+1% Block Damage and Resource Gain\n+0.3% Stamina Reduction\nper level"
perkASBluntDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASBladedDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASElectricDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASJavelinDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASArcheryDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy and Reload Speed\nper level"
perkASPistolsDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASShotgunsDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASRiflesDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASAutomaticsDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASBrawlerDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASTurretDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
attactionskills,progression,Attribute,Action Skills
attActionSkillsDesc,progression,Attribute,Action Skills Will Level As You Use Them.
attActionSkillsName,progression,Attribute,Attribute: Action Skills
