Key,Context,English,German
h7sb_maggots,newItem,Maggot,Made
h7sb_maggotsDesc,newItemDesc,"This item can be eaten (LMB) or used to make pet food." ,"Dieser Gegenstand kann gegessen (LMB) oder zur Herstellung von Tiernahrung verwendet werden."

h7sb_carrotAndStick,newItem,Carrot and Stick,Zuckerbrot und Peitsche
h7sb_carrotAndStickDesc,newItemDesc,"Use this item to feed,heal and breed (LMB) or scold (RMB) domesticated animals. \n\nThe food or medicine must be in the inventory for this. All actions, apart from scolding, must be applied on the enclosure and not on the animal itself!","Verwende diesen Gegenstand um domestizierte Tiere zu füttern, heilen uvm (LMB) oder sie zu schelten (RMB). \n\nDie Nahrung oder Medizin muss sich dafür im Inventar befinden. Alle Aktionen, abgesehen vom schelten, müssen auf das Gehege ausgeführt werden und nicht auf das Tier selbst!"

h7sb_animalMedicine,newItem,Veterinary Medicine,Tiermedizin
h7sb_animalMedicineDesc,newItemDesc,"This item is required to heal sick domesticated animals.","Dieser Gegenstand wird benötigt um kranke domestizierte Tiere zu heilen."

h7sb_snakePoision,newItem,Snake Venom,Schlangengift
h7sb_snakePoisionDesc,newItemDesc,"This item is used to make tranquilizer darts. You can get it by eviscerating snakes.","Dieser Gegenstand wird benötigt zur Herstellung von Betäubungspfeilen. Man erhält ihn beim ausweiden von Schlangen."

h7sb_tranquillizerDart,newItem,Tranquilizer Dart,Betäubungspfeil
h7sb_tranquillizerDartDesc,newItemDesc,"Place this object in an bow and shoot it at a wild animal to poison it. The effects of the poison slow the animal down a little and unfold completely as soon as it goes down. \n\nStunned animals can be captured with a appropriate cage. Another shock in this state kills the wild animal.","Lege diesen Gegenstand in einen Bogen ein und schieße damit auf ein wildes Tier, um es zu vergiften. Die Wirkung des Gifts lässt das Tier etwas langsamer werden und entfaltet sich vollständig, sobald es zu Boden geht. \n\nBetäubte Tiere können mit einem passenden Käfig eingefangen werden. Ein weiterer Schock in diesem Zustand tötet das wilde Tier."

h7sb_chickenCage,newItem,Chicken Cage,Hühnerkäfig
h7sb_chickenCageDesc,newItemDesc,"Use this item (RMB) to capture a fully stunned wild chicken.","Verwende diesen Gegenstand (RMB) um ein vollständig betäubtes wildes Huhn einzufangen."

h7sb_chickenFeed,newItem,Chicken Feed,Hühnerfutter
h7sb_chickenFeedDesc,newItemDesc,"This item is required to feed domesticated chickens.","Dieser Gegenstand wird benötigt um domestizierte Hühner zu füttern."

h7sb_fertilizedEgg,newItem,Egg (fertilized),Ei (befruchtet)
h7sb_fertilizedEggDesc,newItemDesc,"Use the carrot and stick item to exchange a hen's egg with this one. \n\nAt night a wild rooster sneaked into the chicken coop and laid with your hen. The result is a fertilized egg that needs to be hatched.","Verwende den Gegenstand Zuckerbrot und Peitsche, um das Ei einer Henne mit diesem auszutauschen. \n\nIn der Nacht hat sich ein wilder Hahn in den Hühnerstall geschlichen und zu deiner Henne gelegt. Das Ergebnis ist ein befruchtetes Ei, dass ausgebrütet werden muss."

h7sb_tranquillizerCheckBuff,newBuff,Wild animal poisoned,Wildtier vergiftet
h7sb_tranquillizerCheckBuffDesc,newBuffDesc,"You have successfully poisoned a wild animal. Its movement speed is slightly reduced and if you bring it to the ground within 90 seconds you can capture it." ,"Du hast ein wildes Tier erfolgreich vergiftet. Sein Lauftempo ist leicht verringert und falls du es zu Boden bringst innerhalb von 90 Sekunden, kannst du es einfangen."

