Key,Type,english,german

h7sb_holzkisteOffen,chest,Wooden Chest,Holztruhe
h7sb_holzkiste,chest,Wooden Chest,Holztruhe
h7sb_leatherChest_open,chest,Leather Chest,Ledertruhe
h7sb_leatherChest,chest,Leather Chest,Ledertruhe
h7sb_eisenkisteOffen,chest,Iron Chest,Eisentruhe
h7sb_eisenkiste,chest,Iron Chest,Eisentruhe
h7sb_stahlkisteOffen,chest,Steel Chest,Stahltruhe
h7sb_stahlkiste,chest,Steel Chest,Stahltruhe
h7sb_werkzeugkisteOffen,chest,Tool Box,Werkzeugkiste
h7sb_werkzeugkiste,chest,Tool Box,Werkzeugkiste
h7sb_werkzeugkisteOffen1,chest,Tool Cabinet,Werkzeugschrank
h7sb_werkzeugkiste1,chest,Tool Cabinet,Werkzeugschrank
h7sb_kasseOffen,chest,Cash Register,Kasse
h7sb_kasse,chest,Cash Register,Kasse
h7sb_wandtresorOffen,chest,Wall Safe,Wandtresor
h7sb_wandtresor,chest,Wall Safe,Wandtresor
h7sb_tresorOffen,chest,Safe,Tresor
h7sb_tresor,chest,Safe,Tresor
h7sb_eisenschreibtischOffen,chest,Desk,Schreibtisch
h7sb_eisenschreibtisch,chest,Iron Desk,Schreibtisch
h7sb_writableHelper,chest,Writable Chests,Beschreibbare Truhen
cntStorageGenericSigned,chest,Writable Chest,Beschreibbare Truhe
h7sb_writableChest_desert,chest,Writable Chest (desert),Beschreibbare Truhe (desert)
h7sb_writableChest_sun,chest,Writable Chest (sun),Beschreibbare Truhe (sun)
h7sb_writableChest_orange,chest,Writable Chest (orange),Beschreibbare Truhe (orange)
h7sb_writableChest_blood,chest,Writable Chest (blood),Beschreibbare Truhe (blood)
h7sb_writableChest_pink,chest,Writable Chest (pink),Beschreibbare Truhe (pink)
h7sb_writableChest_purple,chest,Writable Chest (purple),Beschreibbare Truhe (purple)
h7sb_writableChest_ocean,chest,Writable Chest (ocean),Beschreibbare Truhe (ocean)
h7sb_writableChest_sky,chest,Writable Chest (sky),Beschreibbare Truhe (sky)
h7sb_writableChest_green,chest,Writable Chest (green),Beschreibbare Truhe (green)
h7sb_writableChest_forest,chest,Writable Chest (forest),Beschreibbare Truhe (forest)
h7sb_writableChest_burned,chest,Writable Chest (burned),Beschreibbare Truhe (burned)
h7sb_writableChest_night,chest,Writable Chest (night),Beschreibbare Truhe (night)

