Key,Source,Context,English,German

zänkju_title,supporter,diary,H7SB [ff0000]Supporter[-],H7SB [ff0000]Supporter[-]
zänkju,desc,diary,╔══╗╔╗╔╗╔══╗────────╔╗╔╗ \n╚╗╔╝║╚╝║║╚╝║▀██▄─▀█▀║═╔╝ \n─║║─║╔╗║║╔╗║─██▀▄─█─║═╚╗ \n─╚╝─╚╝╚╝╚╝╚╝─██─▀▄█─╚╝ ╚╝ \n─╔╗──╔╗ [FF0000]▄██▄[-] ── [FF0000]▄██▄[-] \n─║╚╗╔╝║ [FF0000]█████ █████▌[-] \n─╚╗╚╝╔╩═╦╗╔╗ [FF0000]█████[-] \n──╚╗╔╣╔╗║║║║ [FF0000 ]███▀[-] \n───║║║╚╝║╚╝║ [FF0000]█▀[-] \n───╚╝╚══╩══╝ \n\nEihwaz Geht?! And thank you for your great support in realizing the [ff0000]How 7Days Should Be[-] Modpack. The top 10 donors will also be honored as an candy on testserver. \n\nNackenklatscher/Granitdemon/BrütalBreadcrumb/Xorrontor/Oli \n\n[ff0000]www.eihwaz.de[-],╔══╗╔╗╔╗╔══╗────────╔╗╔╗ \n╚╗╔╝║╚╝║║╚╝║▀██▄─▀█▀║═╔╝ \n─║║─║╔╗║║╔╗║─██▀▄─█─║═╚╗ \n─╚╝─╚╝╚╝╚╝╚╝─██─▀▄█─╚╝╚╝ \n─╔╗──╔╗[FF0000]▄██▄[-]──[FF0000]▄██▄[-] \n─║╚╗╔╝║[FF0000]██████████▌[-] \n─╚╗╚╝╔╩═╦╗╔╗[FF0000]█████[-] \n──╚╗╔╣╔╗║║║║[FF0000]███▀[-] \n───║║║╚╝║╚╝║[FF0000]█▀[-] \n───╚╝╚══╩══╝ \n\nEihwaz Geht?! Und vielen Dank für eure großartige Unterstützung bei der Realisierung des [ff0000]How 7Days Should Be[-] Modpacks. Die Top 10 Spender werden zusätzlich als Süßigkeit auf dem Testserver geehrt.  \n\nNackenklatscher/Granitdemon/BrütalBreadcrumb/Xorrontor/Oli \n\n[ff0000]www.eihwaz.de[-]

drugSkullCrushers,supporter,item,Nackenklatscher,Nackenklatscher
drugSkullCrushersDesc,desc,item,Increases the melee damage when clapping the neck - no matter if zombie or player!,Erhöht die Nahkampfschaden beim nackenklatschen - egal ob Zombie oder Spieler!
drugRockBusters,supporter,item,Granitdemon,Granitdemon
drugOhShitzDrops,supporter,item,Brütal Breadcrumbs,Brütal Breadcrumbs
drugHealthBar,supporter,item,Xorrontor,Xorrontor
drugHackers,supporter,item,Tr-Olli,Tr-Olli

h7sb_besitzurkunde_lcb,item,claim,Application: Territorial Protection,Antrag: Gebietsschutz
h7sb_besitzurkunde_lcbDesc,desc,claim,"Dear Sir or Madam, I hereby apply for an additional area protection block. According to the rules, I will not place it near the spawn or teleporters and ask other players for permission if the distance is less than 30 blocks. \n\n[ff0000]Click the left mouse button to send the application.[-]","Sehr geehrte Damen und Herren, \nhiermit beantrage ich einen zusätzlichen Gebietsschutz Block. Ich werde diesen gemäß der Regeln nicht in der Nähe des Spawns oder von Teleportern platzieren und andere Spieler um Erlaubnis fragen, sollte der Abstand weniger als 30 Block betragen. MfG \n\n[ff0000]Klicke die linke Maustaste um den Antrag abzuschicken.[-]"

h7sb_buch_ep,item,erfahrung,It´s over 9000!,It´s over 9000!
h7sb_buch_epDesc,desc,erfahrung,"When you read this book you will not get 9000 - but a whopping 10,000 experience points!","Du erhältst beim lesen dieses Buches keine 9000 - sondern satte 10000 Erfahrungspunkte!"

h7sb_nachtblut,item,zubehör,Nightblood,Nachtblut
h7sb_nachtblutDesc,desc,zubehör,Night blood protects you from the effects of deprivation of life.,Nachtblut schützt dich vor den Auswirkungen des Lebensentzugs.
h7sb_aderlass,item,zubehör,Bloodletting,Aderlass
h7sb_aderlassDesc,desc,zubehör,Bloodletting cleanses impurities from the blood.,Aderlass reinigt das Blut von Verunreinigungen.
h7sb_1Leben,item,zubehör,1 Extra Life,1 Extra Leben
h7sb_3Leben,item,zubehör,3 Extra Life,3 Extra Leben
h7sb_LebenDesc,desc,zubehör,Always good to have some and bad when they go out!,Immer gut welche zu haben und schlecht wenn sie ausgehen!

GameOver,buff,zubehör,Game Over,Game Over
GameOverDesc,desc,zubehör,Unfortunately you died for good - contact an admin on the Discord for more information.,Du bist leider endgültig gestorben - wende dich im Discord an einen Admin für weitere Informationen.
1Leben,buff,zubehör,1 Life,1 Leben
2Leben,buff,zubehör,2 Life,2 Leben
3Leben,buff,zubehör,3 Life,3 Leben

lblglass,UI,XUI Forge,Glass,Glas

resourceRepairKit,item,repair,Repair Kit (small),Reparaturkit (klein)
resourceRepairKitDesc,item,desc,"Small repair kits are used to fix simple things.","Kleine Reparatur Kits werden dazu verwendet einfache Dinge zu reparieren."
h7sb_repKit_stahl,item,repair,Repair Kit (large),Reparaturkit (groß)
h7sb_repKit_stahlDesc,item,desc,"Large repair kits are used to fix advanced things.","Große Reparatur Kits werden dazu verwendet fortgeschrittene Dinge zu reparieren."
h7sb_repKit_stoff,item,repair,Cloth Roll,Stoffballen
h7sb_repKit_stoffDesc,item,desc,"Balls of cloth are used to craft or repair armor.","Stoffballen werden dazu verwendet Rüstungen herzustellen oder zu reparieren."
h7sb_repKit_leder,item,repair,Leather Straps,Lederriemen
h7sb_repKit_lederDesc,item,desc,"Leather straps are used to craft or repair armor.","Lederriemen werden dazu verwendet Rüstungen herzustellen oder zu reparieren."

meleeToolRepairT0StoneAxeDesc,item,desc,"The stone ax is a primitive tool but a useful multi tool with which you can cut down wood or break stones. The effect decreases with harder material. You can also use it to repair and upgrade blocks (RMB). \n\nIt Cannot be repaired and will break. Limited function underwater.","Die Steinaxt ist ein primitives aber nützliches Multifunktionswerkzeug, mit dem man Holz oder Stein abbauen (LMB) kann. Bei härterem Material lässt die Wirkung nach. Außerdem kann man damit Blöcke reparieren und aufwerten (RMB). \n\nSie kann nicht repariert werden und zerbricht. Eingeschränkte Funktion unter Wasser."
meleeToolShovelT0StoneShovelDesc,item,desc,"The stone shovel is a primitive tool with which you can dig up earth, sand and snow (LMB/RMB). The effect wears off with harder material. \n\nIt cannot be repaired and breaks. Underwater the damage to stones is increased.","Die Steinschaufel ist ein primitives Werkzeug mit dem man Erde, Sand und Schnee abbauen (LMB/RMB) kann. Bei härterem Material lässt die Wirkung nach. \n\nSie kann nicht repariert werden und zerbricht. Unter Wasser ist der Schaden an Steinen erhöht."
meleeWpnBladeT0BoneKnifeDesc,item,desc,"The bone knife is a primitive tool with which you can slaughter animals (LMB/RMB).  Power attacks (RMB) cost more stamina. Does hardly any damage to other material. \n\nIt cannot be repaired and breaks. Limited function underwater.","Das Knochenmesser ist ein primitives Werkzeug mit dem man Tiere zerlegen (LMB/RMB) kann. Stärkere Stiche (RMB) benötigen mehr Ausdauer. Richtet an anderem Material kaum Schaden an. \n\nEs kann nicht repariert werden und zerbricht. Eingeschränkte Funktion unter Wasser."
meleeWpnClubT0WoodenClubDesc,item,desc,"The wooden club is a primitive weapon with which you can crush opponents (LMB/RMB). Power attacks (RMB) cost more stamina. \n\nIt cannot be repaired and breaks. Cannot be used underwater.","Der Holzknüppel ist eine primitive Waffe mit der man Gegner zermatschen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nEr kann nicht repariert werden und zerbricht. Kann nicht unter Wasser verwendet werden."
