Key,Context,English,German

npcTraderBob,npc,Quartermaster Gunnar,Quartiermeister Gunnar
npcTraderHugh,npc,Earl Apol,Graf Apol
npcTraderJoel,npc,Earl Storo,Graf Storo
npcTraderRekt,npc,Grimm Brothers,Gebrüder Grimm
npcTraderJen,npc,Widow Bolte,Witwe Bolte
Trader,desc,Outpost,Außenposten

lblglass,UI,Glass,Glas

meleeToolRepairT0StoneAxeDesc,item,"The stone ax is a primitive tool but a useful multi tool with which you can cut down wood or break stones. The effect decreases with harder material. You can also use it to repair and upgrade blocks (RMB). \n\nIt Cannot be repaired and will break. Limited function underwater.","Die Steinaxt ist ein primitives aber nützliches Multifunktionswerkzeug, mit dem man Holz oder Stein abbauen (LMB) kann. Bei härterem Material lässt die Wirkung nach. Außerdem kann man damit Blöcke reparieren und aufwerten (RMB). \n\nSie kann nicht repariert werden und zerbricht. Eingeschränkte Funktion unter Wasser."
meleeToolShovelT0StoneShovelDesc,item,"The stone shovel is a primitive tool with which you can dig up earth, sand and snow (LMB/RMB). The effect wears off with harder material. \n\nIt cannot be repaired and breaks. Underwater the damage to stones is increased.","Die Steinschaufel ist ein primitives Werkzeug mit dem man Erde, Sand und Schnee abbauen (LMB/RMB) kann. Bei härterem Material lässt die Wirkung nach. \n\nSie kann nicht repariert werden und zerbricht. Unter Wasser ist der Schaden an Steinen erhöht."
meleeWpnBladeT0BoneKnifeDesc,item,"The bone knife is a primitive tool with which you can slaughter animals (LMB/RMB).  Power attacks (RMB) cost more stamina. Does hardly any damage to other material. \n\nIt cannot be repaired and breaks. Limited function underwater.","Das Knochenmesser ist ein primitives Werkzeug mit dem man Tiere zerlegen (LMB/RMB) kann. Stärkere Stiche (RMB) benötigen mehr Ausdauer. Richtet an anderem Material kaum Schaden an. \n\nEs kann nicht repariert werden und zerbricht. Eingeschränkte Funktion unter Wasser."
meleeWpnClubT0WoodenClubDesc,item,"The wooden club is a primitive weapon with which you can crush opponents (LMB/RMB). Power attacks (RMB) cost more stamina. \n\nIt cannot be repaired and breaks. Cannot be used underwater.","Der Holzknüppel ist eine primitive Waffe mit der man Gegner zermatschen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nEr kann nicht repariert werden und zerbricht. Kann nicht unter Wasser verwendet werden."
meleeWpnSpearT0StoneSpearDesc,item,"The stone spear is a primitive weapon with which you can impale opponents (LMB). Thrown (RMB) the damage is increased. \n\nIt cannot be repaired and breaks. Limited function underwater.","Der Steinspeer ist eine primitive Waffe mit der man Gegner aufspießen (LMB) kann. Geworfen (RMB) ist der Schaden erhöht. \n\nEr kann nicht repariert werden und zerbricht. Eingeschränkte Funktion unter Wasser." 
meleeWpnSledgeT0StoneSledgehammerDesc,item,Stone Sledgehammer, Steinprügel
meleeWpnSledgeT0StoneSledgehammerDesc,item,"The stone sledgehammer is a primitive weapon that can be used to crush opponents (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt cannot be repaired and breaks. Cannot be used underwater.","Der Steinprügel ist eine primitive Waffe mit der man Gegner zermatschen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nEr kann nicht repariert werden und zerbricht. Kann nicht unter Wasser verwendet werden."
meleeWpnKnucklesT0LeatherKnucklesDesc,item,"Leather hand wraps are primitive weapons that can be used to damage opponents (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt cannot be repaired and will break. Can be used underwater.","Lederhandwickel sind primitive Waffen mit denen man Gegner schädigen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nSie können nicht repariert werden und gehen kaputt. Kann unter Wasser verwendet werden."
gunBowT0PrimitiveBowDesc,item,"The primitive bow is a weapon that can be used to shoot enemies at a distance (LMB). Aiming (RMB) enables more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt cannot be repaired and will break. Cannot be used underwater.","Der primitive Bogen ist eine Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nEr kann nicht repariert werden und zerbricht. Kann nicht unter Wasser verwendet werden."
